mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,551,0.103199,0.024776,0.04667
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,552,-0.053169,0.037171,0.326408
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,553,-0.435991,-0.085425,0.048259
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,554,-0.086101,0.032736,0.345895
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,555,-0.412936,0.06412,0.193741
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,556,-0.021633,-0.040869,0.008726
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,557,-0.044892,-0.040278,0.021528
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,558,-0.061312,-0.035861,0.038716
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,559,-0.056759,-0.023452,0.052833
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,560,0.012658,0.006054,0.076783
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,561,-0.040852,-0.013786,0.08944
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,562,0.079735,-0.032313,0.071513
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,563,-0.110183,0.121722,0.065379
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,564,-0.022282,0.017357,0.022044
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,565,-0.010266,-0.035218,-0.005216
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,576,0.006078,-0.005289,0.008152
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,579,0.000472,-0.000513,0.001036
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,582,0.008276,-0.01549,0.010023
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,583,0.020088,-0.022832,0.020227
